BallSpeed,WaveInterval,BallsPerWave,WaveDelay,DistractionCount,DistractionSpeed,CubeMode,BallSize,ColorShift,SpawnDistance,SuccessTarget
6.428508,1.318463,1,0.5461544,4,3.165259,2,0.81462,0,8.898764,0
5.565568,1.447478,1,0.3340003,3,3.493557,1,0.9900001,0,11.19175,1
6.100235,1.727378,1,0.5367542,2,1.851042,2,0.7935498,0,8.7092,1
4.413057,1.537587,2,0.3737497,2,1.630067,1,1.101214,0,9.563719,1
4.413057,1.537587,2,0.3737497,2,1.630067,1,1.101214,0,9.563719,1
5.261461,1.503612,2,0.2415502,0,3.086771,2,0.7350482,1,11.32918,1
5.261461,1.503612,2,0.2415502,0,3.086771,2,0.7350482,1,11.32918,0
4.161192,2.120885,1,0.3307219,1,3.180682,1,0.9492867,0,10.3132,1
5.417537,1.814646,1,0.5235528,4,2.647229,1,0.743329,0,11.44173,1
4.476493,1.417379,2,0.4795189,3,1.918694,1,1.120597,0,8.283205,1
4.476493,1.417379,2,0.4795189,3,1.918694,1,1.120597,0,8.283205,1
4.92942,2.322963,3,0.303205,0,3.236993,2,1.113787,0,10.64159,0
4.92942,2.322963,3,0.303205,0,3.236993,2,1.113787,0,10.64159,0
4.92942,2.322963,3,0.303205,0,3.236993,2,1.113787,0,10.64159,0
5.046478,2.084119,2,0.4370779,2,1.8135,0,1.101801,0,11.23525,1
5.046478,2.084119,2,0.4370779,2,1.8135,0,1.101801,0,11.23525,0
5.266427,1.84182,2,0.2959121,2,2.945564,2,1.036264,0,11.86365,0
5.266427,1.84182,2,0.2959121,2,2.945564,2,1.036264,0,11.86365,0
4.319533,2.23877,3,0.5595816,2,3.560044,0,0.9649732,0,8.355133,0
4.319533,2.23877,3,0.5595816,2,3.560044,0,0.9649732,0,8.355133,0
4.319533,2.23877,3,0.5595816,2,3.560044,0,0.9649732,0,8.355133,1
4.584215,2.392984,1,0.2507619,4,3.236062,0,1.038522,0,8.896649,1
